Count,TYPE,X,Y
1,PROPERTY,-90.47567956,38.68165484
1,PROPERTY,-90.47567348,38.56891929
1,PROPERTY,-90.47551121,38.56924987
1,PROPERTY,-90.47538464,38.68387281
1,PROPERTY,-90.47533343,38.68397735
1,PROPERTY,-90.47527586,38.51331032
1,PROPERTY,-90.47516882,38.68395514
1,PROPERTY,-90.47492633,38.55436441
1,PROPERTY,-90.47475673,38.51811006
1,PERSON,-90.47470182,38.51315086
1,PROPERTY,-90.47465875,38.68066676
1,PROPERTY,-90.47465747,38.69320084
1,PROPERTY,-90.47461624,38.51004073
1,PROPERTY,-90.47444751,38.76598996
1,PROPERTY,-90.47444751,38.76598996
1,PROPERTY,-90.47444751,38.76598996
1,PROPERTY,-90.47407219,38.59743727
1,PROPERTY,-90.4740613,38.59070788
1,PROPERTY,-90.47404748,38.59858034
1,PROPERTY,-90.47399597,38.53409552
1,PROPERTY,-90.47395476,38.51370718
1,PROPERTY,-90.47393217,38.55312498
1,PROPERTY,-90.47384797,38.531692
1,PERSON,-90.47372625,38.56929496
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PERSON,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370392,38.52796742
1,PROPERTY,-90.47370266,38.52780491
1,PROPERTY,-90.47370266,38.52780491
1,PROPERTY,-90.47370266,38.52780491
1,PROPERTY,-90.47367627,38.53294389
1,PERSON,-90.4736294,38.51709208
1,PROPERTY,-90.47361055,38.53882246
1,PROPERTY,-90.4733289,38.5313501
1,PROPERTY,-90.47327528,38.58043741
1,PROPERTY,-90.47324623,38.52275911
1,PROPERTY,-90.47315377,38.52252992
1,PROPERTY,-90.47315377,38.52252992
1,PROPERTY,-90.47301546,38.5235921
1,PROPERTY,-90.47301546,38.5235921
1,PROPERTY,-90.47301546,38.5235921
1,PROPERTY,-90.47301546,38.5235921
1,PROPERTY,-90.47301546,38.5235921
1,PROPERTY,-90.47300936,38.52249525
1,PROPERTY,-90.47295874,38.51418661
1,PROPERTY,-90.47267605,38.58861103
1,PROPERTY,-90.47247979,38.76762901
1,PROPERTY,-90.47220004,38.52255871
1,PROPERTY,-90.47210342,38.50428591
1,PROPERTY,-90.47170815,38.53823064
1,PROPERTY,-90.47161569,38.59440445
1,PROPERTY,-90.47139349,38.67940979
1,PROPERTY,-90.47131939,38.76719968
1,PROPERTY,-90.47131939,38.76719968
1,PROPERTY,-90.47124615,38.54022346
1,PROPERTY,-90.47119357,38.54011305
1,PERSON,-90.47060936,38.54010182
1,PROPERTY,-90.47060936,38.54010182
1,PROPERTY,-90.47060936,38.54010182
1,PROPERTY,-90.47060936,38.54010182
1,PROPERTY,-90.47060936,38.54010182
1,PROPERTY,-90.47042806,38.58180294
1,PROPERTY,-90.47034616,38.54021109
1,PROPERTY,-90.4702213,38.56785998
1,PROPERTY,-90.47018644,38.56805459
1,PROPERTY,-90.47018644,38.56805459
1,PROPERTY,-90.47016928,38.59361114
1,PERSON,-90.47013095,38.77341224
1,PROPERTY,-90.4697871,38.54025556
1,PROPERTY,-90.46969263,38.59546193
1,PROPERTY,-90.46959199,38.68262024
1,PROPERTY,-90.46946132,38.53819861
1,PROPERTY,-90.46943014,38.69108748
1,PROPERTY,-90.46943014,38.69108748
1,PROPERTY,-90.46943014,38.69108748
1,PERSON,-90.46943014,38.69108748
1,PROPERTY,-90.46943014,38.69108748
1,PERSON,-90.46941702,38.54286212
1,PROPERTY,-90.46939207,38.5067979
1,PROPERTY,-90.46930407,38.541872
1,PROPERTY,-90.46930407,38.541872
1,PROPERTY,-90.46928976,38.50512418
1,PERSON,-90.46916636,38.67837724
1,PROPERTY,-90.46916636,38.67837724
1,PROPERTY,-90.46916636,38.67837724
1,PROPERTY,-90.46916636,38.67837724
1,PROPERTY,-90.4691278,38.54342136
1,PROPERTY,-90.46879906,38.5392057
1,PROPERTY,-90.46873593,38.54191977
1,PROPERTY,-90.46859137,38.50975673
1,PROPERTY,-90.46858725,38.50801408
1,PROPERTY,-90.46855589,38.52311045
1,PROPERTY,-90.4684981,38.53482475
1,PROPERTY,-90.46833667,38.51755346
1,PROPERTY,-90.46824889,38.59314701
1,PROPERTY,-90.46821395,38.59561774
1,PROPERTY,-90.46817802,38.69184664
1,PROPERTY,-90.46804555,38.54205889
1,PROPERTY,-90.46804555,38.54205889
1,PROPERTY,-90.46804555,38.54205889
1,PROPERTY,-90.46804555,38.54205889
1,PROPERTY,-90.46799936,38.51987026
1,PERSON,-90.46796521,38.54219699
1,PROPERTY,-90.46791901,38.76697519
1,PROPERTY,-90.46784595,38.58613204
1,PROPERTY,-90.46777646,38.76696957
